"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"12.04.2021","3,50","3,57","3,64","3,46","1,57M","-1,55%"
"09.04.2021","3,56","3,52","3,57","3,52","666,03K","1,14%"
"08.04.2021","3,52","3,45","3,54","3,45","882,54K","1,59%"
"07.04.2021","3,46","3,43","3,49","3,43","508,33K","0,87%"
"06.04.2021","3,43","3,44","3,49","3,43","809,46K","0,59%"
"01.04.2021","3,41","3,36","3,42","3,36","416,71K","1,19%"
"31.03.2021","3,37","3,38","3,46","3,36","1,05M","-0,30%"
"30.03.2021","3,38","3,36","3,42","3,36","860,90K","0,60%"
"29.03.2021","3,36","3,29","3,38","3,29","777,36K","2,13%"
"26.03.2021","3,29","3,24","3,35","3,23","1,00M","2,65%"
"25.03.2021","3,20","3,20","3,26","3,16","653,58K","-0,47%"
"24.03.2021","3,22","3,17","3,26","3,14","790,02K","1,26%"
"23.03.2021","3,18","3,18","3,24","3,13","922,52K","0,00%"
"22.03.2021","3,18","3,06","3,19","3,05","1,31M","3,92%"
"19.03.2021","3,06","2,91","3,12","2,91","1,47M","3,20%"
"18.03.2021","2,96","2,88","2,98","2,87","548,86K","3,13%"
"17.03.2021","2,88","2,89","2,98","2,72","1,11M","-1,54%"
"16.03.2021","2,92","2,89","2,93","2,81","1,05M","1,57%"
"15.03.2021","2,88","2,79","2,95","2,78","1,20M","2,86%"
"12.03.2021","2,80","2,74","2,82","2,69","632,75K","2,57%"
"11.03.2021","2,72","2,54","2,73","2,54","1,03M","7,28%"
"10.03.2021","2,54","2,59","2,59","2,52","125,12K","-0,20%"
"09.03.2021","2,55","2,53","2,56","2,52","201,82K","1,80%"
"08.03.2021","2,50","2,51","2,55","2,50","288,02K","-0,79%"
"05.03.2021","2,52","2,53","2,57","2,49","363,92K","-0,40%"
"04.03.2021","2,53","2,55","2,55","2,48","410,57K","-1,17%"
"03.03.2021","2,56","2,55","2,59","2,55","320,22K","0,59%"
"02.03.2021","2,55","2,60","2,63","2,54","432,55K","-2,49%"
"01.03.2021","2,61","2,52","2,63","2,49","762,07K","4,40%"
"26.02.2021","2,50","2,49","2,51","2,44","430,92K","-0,20%"
"25.02.2021","2,51","2,51","2,54","2,51","280,10K","-0,60%"
"24.02.2021","2,52","2,46","2,52","2,45","475,09K","2,23%"
"23.02.2021","2,46","2,48","2,52","2,43","469,14K","-1,00%"
"22.02.2021","2,49","2,45","2,49","2,41","390,81K","1,43%"
"19.02.2021","2,45","2,41","2,45","2,38","533,43K","2,72%"
"18.02.2021","2,39","2,40","2,41","2,37","297,33K","0,00%"
"17.02.2021","2,39","2,42","2,43","2,37","468,80K","-1,04%"
"16.02.2021","2,41","2,42","2,44","2,39","328,92K","0,42%"
"15.02.2021","2,40","2,40","2,42","2,38","203,65K","1,48%"
"12.02.2021","2,37","2,39","2,39","2,34","255,09K","-1,04%"
"11.02.2021","2,39","2,40","2,40","2,38","262,32K","0,00%"
"10.02.2021","2,39","2,40","2,41","2,38","258,54K","-0,62%"
"09.02.2021","2,40","2,40","2,41","2,39","116,99K","0,42%"
