,Date,Last,Opening,High,Low,Vol.,Var. %,category
0,2021-12-04,3.5,3.57,3.64,3.46,1570000.0,-1.55,negative
1,2021-09-04,3.56,3.52,3.57,3.52,666030.0,1.14,positive
2,2021-08-04,3.52,3.45,3.54,3.45,882540.0,1.59,positive
3,2021-07-04,3.46,3.43,3.49,3.43,508330.0,0.87,positive
4,2021-06-04,3.43,3.44,3.49,3.43,809460.0,0.59,positive
5,2021-01-04,3.41,3.36,3.42,3.36,416710.0,1.19,positive
6,2021-03-31,3.37,3.38,3.46,3.36,1050000.0,-0.30,negative
7,2021-03-30,3.38,3.36,3.42,3.36,860900.0,0.60,positive
8,2021-03-29,3.36,3.29,3.38,3.29,777360.0,2.13,positive
9,2021-03-26,3.29,3.24,3.35,3.23,1000000.0,2.65,positive
10,2021-03-25,3.2,3.20,3.26,3.16,653580.0,-0.47,negative
11,2021-03-24,3.22,3.17,3.26,3.14,790020.0,1.26,positive
12,2021-03-23,3.18,3.18,3.24,3.13,922520.0,0.00,neutral
13,2021-03-22,3.18,3.06,3.19,3.05,1310000.0,3.92,positive
14,2021-03-19,3.06,2.91,3.12,2.91,1470000.0,3.20,positive
15,2021-03-18,2.96,2.88,2.98,2.87,548860.0,3.13,positive
16,2021-03-17,2.88,2.89,2.98,2.72,1110000.0,-1.54,negative
17,2021-03-16,2.92,2.89,2.93,2.81,1050000.0,1.57,positive
18,2021-03-15,2.88,2.79,2.95,2.78,1200000.0,2.86,positive
19,2021-12-03,2.8,2.74,2.82,2.69,632750.0,2.57,positive
20,2021-11-03,2.72,2.54,2.73,2.54,1030000.0,7.28,positive
21,2021-10-03,2.54,2.59,2.59,2.52,125120.0,-0.20,negative
22,2021-09-03,2.55,2.53,2.56,2.52,201820.0,1.80,positive
23,2021-08-03,2.5,2.51,2.55,2.50,288020.0,-0.79,negative
24,2021-05-03,2.52,2.53,2.57,2.49,363920.0,-0.40,negative
25,2021-04-03,2.53,2.55,2.55,2.48,410570.0,-1.17,negative
26,2021-03-03,2.56,2.55,2.59,2.55,320220.0,0.59,positive
27,2021-02-03,2.55,2.60,2.63,2.54,432550.0,-2.49,negative
28,2021-01-03,2.61,2.52,2.63,2.49,762070.0,4.40,positive
29,2021-02-26,2.5,2.49,2.51,2.44,430920.0,-0.20,negative
30,2021-02-25,2.51,2.51,2.54,2.51,280100.0,-0.60,negative
31,2021-02-24,2.52,2.46,2.52,2.45,475090.0,2.23,positive
32,2021-02-23,2.46,2.48,2.52,2.43,469140.0,-1.00,negative
33,2021-02-22,2.49,2.45,2.49,2.41,390810.0,1.43,positive
34,2021-02-19,2.45,2.41,2.45,2.38,533430.0,2.72,positive
35,2021-02-18,2.39,2.40,2.41,2.37,297330.0,0.00,neutral
36,2021-02-17,2.39,2.42,2.43,2.37,468800.0,-1.04,negative
37,2021-02-16,2.41,2.42,2.44,2.39,328920.0,0.42,positive
38,2021-02-15,2.4,2.40,2.42,2.38,203650.0,1.48,positive
39,2021-12-02,2.37,2.39,2.39,2.34,255090.0,-1.04,negative
40,2021-11-02,2.39,2.40,2.40,2.38,262320.0,0.00,neutral
41,2021-10-02,2.39,2.40,2.41,2.38,258540.00000000003,-0.62,negative
42,2021-09-02,2.4,2.40,2.41,2.39,116990.0,0.42,positive
43,2021-08-02,2.39,2.42,2.42,2.39,152990.0,-0.83,negative
44,2021-05-02,2.41,2.37,2.41,2.36,137310.0,2.33,positive
45,2021-04-02,2.36,2.34,2.36,2.33,274710.0,0.64,positive
46,2021-03-02,2.35,2.36,2.36,2.32,327480.0,0.21,positive
47,2021-02-02,2.34,2.37,2.38,2.31,360710.0,-1.89,negative
48,2021-01-02,2.38,2.39,2.41,2.38,154010.0,-0.21,negative
49,2021-01-29,2.39,2.38,2.43,2.38,259610.0,-0.83,negative
50,2021-01-28,2.41,2.34,2.41,2.30,367620.0,3.43,positive
51,2021-01-27,2.33,2.43,2.43,2.33,414030.0,-3.12,negative
52,2021-01-26,2.4,2.42,2.42,2.39,147460.0,-0.21,negative
53,2021-01-25,2.41,2.49,2.49,2.41,381890.0,-2.63,negative
54,2021-01-22,2.47,2.50,2.54,2.45,354010.0,-1.39,negative
55,2021-01-21,2.51,2.55,2.56,2.48,382150.0,-0.59,negative
56,2021-01-20,2.53,2.58,2.58,2.51,410690.0,-1.75,negative
57,2021-01-19,2.57,2.51,2.60,2.51,623420.0,3.42,positive
58,2021-01-18,2.48,2.45,2.48,2.44,189990.0,1.43,positive
59,2021-01-15,2.45,2.46,2.48,2.44,263780.0,-0.81,negative
60,2021-01-14,2.47,2.45,2.47,2.41,276760.0,1.02,positive
61,2021-01-13,2.44,2.45,2.45,2.41,245500.0,0.00,neutral
